index	scene	title	file
01	PEMBUKA	Collabite: menghubungkan UMKM dengan Content Creator	01-pembuka-collabite-menghubungkan-umkm-dengan-content-creator.png
02	BABAK 1 — UMKM	UMKM membuat akun baru	02-babak-1-umkm-umkm-membuat-akun-baru.png
03	BABAK 1 — UMKM	Data pendaftaran UMKM terisi	03-babak-1-umkm-data-pendaftaran-umkm-terisi.png
04	BABAK 1 — UMKM	Akun UMKM berhasil dibuat	04-babak-1-umkm-akun-umkm-berhasil-dibuat.png
05	BABAK 2 — CREATOR	Content Creator membuat akun baru	05-babak-2-creator-content-creator-membuat-akun-baru.png
06	BABAK 2 — CREATOR	Data pendaftaran Creator terisi	06-babak-2-creator-data-pendaftaran-creator-terisi.png
07	BABAK 2 — CREATOR	Akun Creator berhasil dibuat	07-babak-2-creator-akun-creator-berhasil-dibuat.png
08	BABAK 3 — CREATOR	Creator masuk ke dashboard	08-babak-3-creator-creator-masuk-ke-dashboard.png
09	BABAK 3 — CREATOR	Creator mengunggah dokumen (KTP)	09-babak-3-creator-creator-mengunggah-dokumen-ktp.png
10	BABAK 3 — CREATOR	Pengajuan verifikasi terkirim (status: pending)	10-babak-3-creator-pengajuan-verifikasi-terkirim-status-pending.png
11	BABAK 3 — ADMIN	Admin masuk sebagai moderator	11-babak-3-admin-admin-masuk-sebagai-moderator.png
12	BABAK 3 — ADMIN	Admin memeriksa dokumen Creator	12-babak-3-admin-admin-memeriksa-dokumen-creator.png
13	BABAK 3 — ADMIN	Creator kini TERVERIFIKASI	13-babak-3-admin-creator-kini-terverifikasi.png
14	BABAK 4 — UMKM	UMKM masuk ke dashboard	14-babak-4-umkm-umkm-masuk-ke-dashboard.png
15	BABAK 4 — UMKM	Halaman tinjau lamaran	15-babak-4-umkm-halaman-tinjau-lamaran.png
16	BABAK 4 — UMKM	UMKM membuat campaign untuk jalur LAMARAN	16-babak-4-umkm-umkm-membuat-campaign-untuk-jalur-lamaran.png
